2018-02-23 15:03:39.264 INFO  ProxyRunner:33 - 启动定时更新代理服务...
2018-02-23 15:05:25.895 INFO  ProxyApi:44 - 获取代理ip: 123.163.193.27
2018-02-23 15:05:25.895 INFO  ProxyApi:45 - 获取代理port: 55716
2018-02-23 15:05:30.980 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:31.109 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:31.109 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:31.109 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:31.109 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:31.110 INFO  ProxyApi:44 - 获取代理ip: 175.155.24.36
2018-02-23 15:05:31.110 INFO  ProxyApi:45 - 获取代理port: 64880
2018-02-23 15:05:36.213 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:36.416 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:36.416 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:36.417 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:36.417 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:36.417 INFO  ProxyApi:44 - 获取代理ip: 171.217.136.213
2018-02-23 15:05:36.417 INFO  ProxyApi:45 - 获取代理port: 32466
2018-02-23 15:05:41.479 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:41.588 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:41.588 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:41.588 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:41.588 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:41.588 INFO  ProxyApi:44 - 获取代理ip: 27.153.128.182
2018-02-23 15:05:41.588 INFO  ProxyApi:45 - 获取代理port: 47259
2018-02-23 15:05:46.677 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:46.811 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:46.811 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:46.811 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:46.811 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:46.811 INFO  ProxyApi:44 - 获取代理ip: 113.121.242.155
2018-02-23 15:05:46.812 INFO  ProxyApi:45 - 获取代理port: 16507
2018-02-23 15:05:51.930 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:52.29 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:52.29 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:52.30 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:52.30 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:52.30 INFO  ProxyApi:44 - 获取代理ip: 121.237.138.18
2018-02-23 15:05:52.30 INFO  ProxyApi:45 - 获取代理port: 23961
2018-02-23 15:05:57.72 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:05:57.196 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:05:57.197 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:05:57.197 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:05:57.197 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:05:57.197 INFO  ProxyApi:44 - 获取代理ip: 117.86.204.235
2018-02-23 15:05:57.197 INFO  ProxyApi:45 - 获取代理port: 54281
2018-02-23 15:06:02.271 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:02.373 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:02.373 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:02.373 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:02.373 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:02.373 INFO  ProxyApi:44 - 获取代理ip: 117.82.241.248
2018-02-23 15:06:02.374 INFO  ProxyApi:45 - 获取代理port: 19291
2018-02-23 15:06:07.413 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:07.564 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:07.564 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:07.565 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:07.565 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:07.565 INFO  ProxyApi:44 - 获取代理ip: 117.64.28.205
2018-02-23 15:06:07.565 INFO  ProxyApi:45 - 获取代理port: 26268
2018-02-23 15:06:12.638 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:12.726 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:12.726 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:12.727 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:12.727 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:12.727 INFO  ProxyApi:44 - 获取代理ip: 36.248.129.228
2018-02-23 15:06:12.727 INFO  ProxyApi:45 - 获取代理port: 49261
2018-02-23 15:06:17.789 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:17.901 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:17.901 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:17.901 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:17.901 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:17.902 INFO  ProxyApi:44 - 获取代理ip: 123.101.165.217
2018-02-23 15:06:17.902 INFO  ProxyApi:45 - 获取代理port: 50791
2018-02-23 15:06:22.964 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:23.83 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:23.83 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:23.83 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:23.83 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:23.83 INFO  ProxyApi:44 - 获取代理ip: 120.39.119.229
2018-02-23 15:06:23.84 INFO  ProxyApi:45 - 获取代理port: 46523
2018-02-23 15:06:28.130 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:28.251 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:28.252 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:28.252 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:28.252 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:28.253 INFO  ProxyApi:44 - 获取代理ip: 114.227.41.103
2018-02-23 15:06:28.253 INFO  ProxyApi:45 - 获取代理port: 31801
2018-02-23 15:06:33.323 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:33.437 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:33.437 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:33.438 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:33.438 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:33.438 INFO  ProxyApi:44 - 获取代理ip: 125.109.192.170
2018-02-23 15:06:33.439 INFO  ProxyApi:45 - 获取代理port: 45341
2018-02-23 15:06:38.506 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:38.686 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:38.686 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:38.687 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:38.687 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:38.687 INFO  ProxyApi:44 - 获取代理ip: 182.42.41.254
2018-02-23 15:06:38.687 INFO  ProxyApi:45 - 获取代理port: 31240
2018-02-23 15:06:43.722 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:43.837 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:43.837 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:43.837 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:43.838 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:43.838 INFO  ProxyApi:44 - 获取代理ip: 14.112.76.84
2018-02-23 15:06:43.838 INFO  ProxyApi:45 - 获取代理port: 64938
2018-02-23 15:06:48.907 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:49.86 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:49.86 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:49.87 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:49.87 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:49.87 INFO  ProxyApi:44 - 获取代理ip: 182.34.18.0
2018-02-23 15:06:49.87 INFO  ProxyApi:45 - 获取代理port: 63665
2018-02-23 15:06:54.173 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:54.463 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:54.463 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:54.464 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:54.464 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:54.464 INFO  ProxyApi:44 - 获取代理ip: 14.112.76.84
2018-02-23 15:06:54.464 INFO  ProxyApi:45 - 获取代理port: 64938
2018-02-23 15:06:59.531 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:06:59.655 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:06:59.656 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:06:59.656 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:06:59.656 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:06:59.656 INFO  ProxyApi:44 - 获取代理ip: 60.169.219.71
2018-02-23 15:06:59.656 INFO  ProxyApi:45 - 获取代理port: 65195
2018-02-23 15:07:04.681 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:04.768 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:04.768 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:04.768 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:04.768 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:04.769 INFO  ProxyApi:44 - 获取代理ip: 114.99.27.5
2018-02-23 15:07:04.769 INFO  ProxyApi:45 - 获取代理port: 34081
2018-02-23 15:07:09.846 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:10.40 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:10.40 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:10.41 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:10.41 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:10.41 INFO  ProxyApi:44 - 获取代理ip: 115.221.121.154
2018-02-23 15:07:10.41 INFO  ProxyApi:45 - 获取代理port: 29698
2018-02-23 15:07:15.107 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:15.243 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:15.243 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:15.243 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:15.243 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:15.244 INFO  ProxyApi:44 - 获取代理ip: 124.72.96.157
2018-02-23 15:07:15.244 INFO  ProxyApi:45 - 获取代理port: 29270
2018-02-23 15:07:20.290 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:20.383 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:20.383 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:20.384 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:20.384 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:20.385 INFO  ProxyApi:44 - 获取代理ip: 122.246.50.44
2018-02-23 15:07:20.385 INFO  ProxyApi:45 - 获取代理port: 64057
2018-02-23 15:07:25.422 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:25.522 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:25.522 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:25.522 INFO  HttpUtil:78 - 卡死位置4
